"LCNumber","FolderName","RelativePath"
"81","LC81_Search_in_Rotated_Sorted_Array_II","LeetCodePatternsVisualCombo/Binary Search/leetcode_binary_search_java_25_with_main/LC81_Search_in_Rotated_Sorted_Array_II/24.12.2025_14.30.15_REC.mp4"
"852","LC852_Peak_Index_in_a_Mountain_Array","LeetCodePatternsVisualCombo/Binary Search/leetcode_binary_search_java_25_with_main/LC852_Peak_Index_in_a_Mountain_Array/24.12.2025_15.06.56_REC.mp4"
"875","LC875_Koko_Eating_Bananas","LeetCodePatternsVisualCombo/Binary Search/leetcode_binary_search_java_25_with_main/LC875_Koko_Eating_Bananas/20.12.2025_15.40.37_REC.mp4"
"1143","LC1143_LongestCommonSubsequence","LeetCodePatternsVisualCombo/Dynamic Programming(Bottom-Up)/LC1143_LongestCommonSubsequence/21.12.2025_14.10.50_REC.mp4"
"120","LC120_Triangle","LeetCodePatternsVisualCombo/Dynamic Programming(Bottom-Up)/LC120_Triangle/21.12.2025_13.05.37_REC.mp4"
"139","LC139_WordBreak","LeetCodePatternsVisualCombo/Dynamic Programming(Bottom-Up)/LC139_WordBreak/21.12.2025_20.29.55_REC.mp4"
"152","LC152_Max_ProductSubarray","LeetCodePatternsVisualCombo/Dynamic Programming(Bottom-Up)/LC152_Max_ProductSubarray/21.12.2025_14.44.37_REC.mp4"
"152","LC152_Max_ProductSubarray","LeetCodePatternsVisualCombo/Dynamic Programming(Bottom-Up)/LC152_Max_ProductSubarray/21.12.2025_14.48.31_REC.mp4"
"152","LC152_Max_ProductSubarray","LeetCodePatternsVisualCombo/Dynamic Programming(Bottom-Up)/LC152_Max_ProductSubarray/27.12.2025_10.16.08_REC.mp4"
"174","LC174_DungeonGame","LeetCodePatternsVisualCombo/Dynamic Programming(Bottom-Up)/LC174_DungeonGame/21.12.2025_14.20.02_REC.mp4"
"198","LC198-HouseRobber","LeetCodePatternsVisualCombo/Dynamic Programming(Bottom-Up)/LC198-HouseRobber/17.12.2025_14.35.17_REC.mp4"
"213","LC213_HouseRobber_II","LeetCodePatternsVisualCombo/Dynamic Programming(Bottom-Up)/LC213_HouseRobber_II/21.12.2025_13.20.48_REC.mp4"
"221","LC221_MaximalSquare","LeetCodePatternsVisualCombo/Dynamic Programming(Bottom-Up)/LC221_MaximalSquare/21.12.2025_13.29.46_REC.mp4"
"279","LC279_PerfectSquares","LeetCodePatternsVisualCombo/Dynamic Programming(Bottom-Up)/LC279_PerfectSquares/21.12.2025_13.39.24_REC.mp4"
"368","LC368_LargestDivisibleSubset","LeetCodePatternsVisualCombo/Dynamic Programming(Bottom-Up)/LC368_LargestDivisibleSubset/21.12.2025_20.02.18_REC.mp4"
"368","LC368_LargestDivisibleSubset","LeetCodePatternsVisualCombo/Dynamic Programming(Bottom-Up)/LC368_LargestDivisibleSubset/21.12.2025_20.16.04_REC.mp4"
"376","LC376_WiggleSubsequence","LeetCodePatternsVisualCombo/Dynamic Programming(Bottom-Up)/LC376_WiggleSubsequence/21.12.2025_19.55.32_REC.mp4"
"44","LC44_WildcardMatching","LeetCodePatternsVisualCombo/Dynamic Programming(Bottom-Up)/LC44_WildcardMatching/19.12.2025_16.19.46_REC.mp4"
"44","LC44_WildcardMatching","LeetCodePatternsVisualCombo/Dynamic Programming(Bottom-Up)/LC44_WildcardMatching/21.12.2025_14.40.25_REC.mp4"
"518","LC518_CoinChangeII","LeetCodePatternsVisualCombo/Dynamic Programming(Bottom-Up)/LC518_CoinChangeII/21.12.2025_13.47.37_REC.mp4"
"11","LC11_Container_With_Most_Water","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC11_Container_With_Most_Water/25.12.2025_20.21.51_REC.mp4"
"15","LC15_3Sum","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC15_3Sum/25.12.2025_20.33.08_REC.mp4"
"16","LC16_3Sum_Closest","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC16_3Sum_Closest/25.12.2025_20.39.02_REC.mp4"
"18","LC18_4Sum","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC18_4Sum/25.12.2025_20.51.27_REC.mp4"
"19","LC19_Remove_Nth_Node_From_End_of_List","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC19_Remove_Nth_Node_From_End_of_List/25.12.2025_21.00.45_REC.mp4"
"21","LC21_Merge_Two_Sorted_Lists","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC21_Merge_Two_Sorted_Lists/25.12.2025_21.09.09_REC.mp4"
"234","LC234_Palindrome_Linked_List","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC234_Palindrome_Linked_List/25.12.2025_22.14.46_REC.mp4"
"26","LC26_Remove_Duplicates_from_Sorted_Array","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC26_Remove_Duplicates_from_Sorted_Array/25.12.2025_21.18.26_REC.mp4"
"27","LC27_Remove_Element","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC27_Remove_Element/25.12.2025_21.22.26_REC.mp4"
"283","LC283_Move_Zeroes","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC283_Move_Zeroes/25.12.2025_22.10.38_REC.mp4"
"287","LC287_Find_the_Duplicate_Number","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC287_Find_the_Duplicate_Number/25.12.2025_22.07.26_REC.mp4"
"344","LC344_Reverse_String","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC344_Reverse_String/25.12.2025_22.03.46_REC.mp4"
"392","LC392_Is_Subsequence","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC392_Is_Subsequence/25.12.2025_21.59.42_REC.mp4"
"457","LC457_Circular_Array_Loop","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC457_Circular_Array_Loop/25.12.2025_21.50.33_REC.mp4"
"61","LC61_Rotate_List","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC61_Rotate_List/25.12.2025_21.27.05_REC.mp4"
"82","LC82_Remove_Duplicates_from_Sorted_List_II","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC82_Remove_Duplicates_from_Sorted_List_II/25.12.2025_21.33.02_REC.mp4"
"83","LC83_Remove_Duplicates_from_Sorted_List","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC83_Remove_Duplicates_from_Sorted_List/25.12.2025_21.37.46_REC.mp4"
"876","LC876_Middle_of_the_Linked_List","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC876_Middle_of_the_Linked_List/25.12.2025_21.45.30_REC.mp4"
"977","LC977_Squares_of_a_Sorted_Array","LeetCodePatternsVisualCombo/Fast&SlowPointers(Linked List)/leetcode_fast_slow_pointers_java_25/LC977_Squares_of_a_Sorted_Array/25.12.2025_21.42.01_REC.mp4"
"1005","LC1005_Maximize_Sum_Of_Array_After_K_Negations","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC1005_Maximize_Sum_Of_Array_After_K_Negations/24.12.2025_13.19.57_REC.mp4"
"1029","LC1029_Two_City_Scheduling","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC1029_Two_City_Scheduling/24.12.2025_13.21.44_REC.mp4"
"1094","LC1094_Car_Pooling","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC1094_Car_Pooling/24.12.2025_13.23.33_REC.mp4"
"121","LC121_Best_Time_to_Buy_and_Sell_Stock","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC121_Best_Time_to_Buy_and_Sell_Stock/24.12.2025_12.03.34_REC.mp4"
"122","LC122_Best_Time_to_Buy_and_Sell_Stock_II","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC122_Best_Time_to_Buy_and_Sell_Stock_II/24.12.2025_12.44.18_REC.mp4"
"134","LC134_Gas_Station","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC134_Gas_Station/24.12.2025_12.46.34_REC.mp4"
"135","LC135_Candy","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC135_Candy/24.12.2025_12.49.22_REC.mp4"
"1710","LC1710_Maximum_Units_on_a_Truck","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC1710_Maximum_Units_on_a_Truck/24.12.2025_13.25.39_REC.mp4"
"1903","LC1903_Largest_Odd_Number_in_String","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC1903_Largest_Odd_Number_in_String/24.12.2025_13.27.42_REC.mp4"
"376","LC376_Wiggle_Subsequence","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC376_Wiggle_Subsequence/24.12.2025_12.52.15_REC.mp4"
"392","LC392_Is_Subsequence","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC392_Is_Subsequence/24.12.2025_12.54.19_REC.mp4"
"435","LC435_Non_overlapping_Intervals","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC435_Non_overlapping_Intervals/24.12.2025_12.56.27_REC.mp4"
"452","LC452_Minimum_Number_of_Arrows_to_Burst_Balloons","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC452_Minimum_Number_of_Arrows_to_Burst_Balloons/24.12.2025_12.58.33_REC.mp4"
"45","LC45_Jump_Game_II","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC45_Jump_Game_II/24.12.2025_11.56.55_REC.mp4"
"55","LC55_Jump_Game","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC55_Jump_Game/24.12.2025_11.59.54_REC.mp4"
"621","LC621_Task_Scheduler","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC621_Task_Scheduler/24.12.2025_13.00.47_REC.mp4"
"646","LC646_Maximum_Length_of_Pair_Chain","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC646_Maximum_Length_of_Pair_Chain/24.12.2025_13.03.50_REC.mp4"
"714","LC714_Best_Time_to_Buy_and_Sell_Stock_with_Transaction_Fee","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC714_Best_Time_to_Buy_and_Sell_Stock_with_Transaction_Fee/24.12.2025_13.06.27_REC.mp4"
"738","LC738_Monotone_Increasing_Digits","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC738_Monotone_Increasing_Digits/24.12.2025_13.08.49_REC.mp4"
"763","LC763_Partition_Labels","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC763_Partition_Labels/24.12.2025_13.11.06_REC.mp4"
"860","LC860_Lemonade_Change","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC860_Lemonade_Change/24.12.2025_13.15.36_REC.mp4"
"948","LC948_Bag_of_Tokens","LeetCodePatternsVisualCombo/Greedy/leetcode_greedy_java_25/LC948_Bag_of_Tokens/24.12.2025_13.17.43_REC.mp4"
"1","LC1_Two_Sum","LeetCodePatternsVisualCombo/Hash Map or Frequency/leetcode_hashmap_frequency_java_25/LC1_Two_Sum/17.12.2025_11.51.44_REC.mp4"
"242","LC242_Valid_Anagram","LeetCodePatternsVisualCombo/Hash Map or Frequency/leetcode_hashmap_frequency_java_25/LC242_Valid_Anagram/20.12.2025_16.30.58_REC.mp4"
"290","LC290_Word_Pattern","LeetCodePatternsVisualCombo/Hash Map or Frequency/leetcode_hashmap_frequency_java_25/LC290_Word_Pattern/20.12.2025_16.19.44_REC.mp4"
"347","LC347_Top_K_Frequent_Elements","LeetCodePatternsVisualCombo/Hash Map or Frequency/leetcode_hashmap_frequency_java_25/LC347_Top_K_Frequent_Elements/20.12.2025_16.54.56_REC.mp4"
